                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.1644,                 2.4531,                 1.1616,                 1.0276,                0.69084,                 0.1764,                0.17767,                 0.1087,                0.61619,                0.14356,                0.15085,                0.07729,                 1.0635,                 2.5204,                0.85676,                 1.0068,               0.005644,               0.005644,               0.005644
                     91,                  1.174,                 2.4574,                 1.1661,                 1.0321,                0.67054,                0.16316,                0.17445,                0.10804,                0.63231,                0.14279,                0.15188,                0.07863,                 1.0604,                 2.5143,                0.84943,                 1.0065,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.1661,                 2.4385,                 1.1807,                 1.0336,                0.56459,                0.17895,                0.17616,                0.10911,                0.49772,                0.16913,                0.15534,                0.07931,                 1.0617,                 2.5187,                0.85085,                 1.0073,               0.005545,               0.005545,               0.005545
                     93,                 1.1597,                  2.447,                 1.1551,                 1.0238,                 0.5297,                0.17602,                0.17851,                0.11166,                0.51655,                0.16827,                0.15718,                0.08067,                 1.0572,                 2.5129,                0.84822,                 1.0027,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.1604,                 2.4441,                 1.1487,                 1.0259,                0.61022,                0.17813,                0.17685,                0.10985,                0.64487,                0.13706,                0.15364,                0.07892,                 1.0619,                 2.4989,                0.83966,                 1.0042,               0.005446,               0.005446,               0.005446
                     95,                 1.1692,                 2.4316,                 1.1612,                  1.031,                0.53347,                0.17194,                0.17552,                0.11007,                0.50776,                0.15841,                0.15211,                0.07848,                 1.0552,                 2.5042,                0.84776,                 1.0045,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.1534,                 2.4382,                 1.1482,                 1.0231,                0.54362,                0.17503,                0.17914,                0.11017,                0.51258,                0.16786,                0.15469,                0.07856,                 1.0529,                    2.5,                0.84754,                 1.0024,               0.005347,               0.005347,               0.005347
                     97,                 1.1566,                 2.4147,                 1.1542,                 1.0269,                0.54296,                0.17326,                0.17509,                0.10884,                0.51077,                0.15567,                0.15137,                0.07776,                 1.0521,                 2.5009,                 0.8445,                 1.0018,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.1533,                 2.4265,                 1.1545,                 1.0255,                0.67577,                0.16356,                0.17818,                0.11149,                0.62084,                0.15194,                0.15626,                0.07965,                 1.0527,                 2.4985,                0.84226,                 1.0021,               0.005248,               0.005248,               0.005248
                     99,                  1.174,                 2.4253,                 1.1701,                   1.03,                0.67421,                0.15827,                0.17447,                0.10773,                0.62847,                0.14231,                0.14836,                0.07692,                  1.053,                 2.4993,                0.84182,                 1.0014,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.1535,                  2.419,                 1.1492,                 1.0245,                0.61621,                0.15774,                0.17541,                0.10862,                0.55371,                0.14159,                0.15023,                0.07701,                 1.0513,                 2.4909,                0.84073,                 1.0009,               0.005149,               0.005149,               0.005149
                    101,                  1.151,                 2.4251,                 1.1577,                 1.0239,                0.71375,                0.16066,                0.17576,                0.11043,                0.66258,                0.14524,                0.15313,                0.07762,                 1.0504,                  2.493,                0.84667,                 1.0015,              0.0050995,              0.0050995,              0.0050995
